1,9,99,99,99
2,8,88,88,88
3,7,77,77,77
4,9,99,99,99
5,8,88,88,88
6,7,77,77,77
7,9,99,99,99
8,8,88,88,88
9,7,77,77,77
10,9,99,99,99
11,8,88,88,88
12,7,77,77,77
13,9,99,99,99
14,8,88,88,88
15,7,77,77,77
16,9,99,99,99
17,8,88,88,88
18,7,77,77,77
19,9,99,99,99
20,8,88,88,88
21,7,77,77,77
22,9,99,99,99
23,8,88,88,88
24,7,77,77,77
25,9,99,99,99
26,8,88,88,88
27,7,77,77,77
28,9,99,99,99
29,8,88,88,88
30,7,77,77,77
31,9,99,99,99
32,8,88,88,88
33,7,77,77,77
34,9,99,99,99
35,8,88,88,88
36,7,77,77,77
37,9,99,99,99
38,8,88,88,88
39,7,77,77,77
40,9,99,99,99
41,8,88,88,88
42,7,77,77,77
43,9,99,99,99
44,8,88,88,88
45,7,77,77,77
46,9,99,99,99
47,8,88,88,88
48,7,77,77,77
49,9,99,99,99
50,8,88,88,88
51,7,77,77,77
52,9,99,99,99
53,8,88,88,88
54,7,77,77,77
55,9,99,99,99
56,8,88,88,88
57,7,77,77,77
58,9,99,99,99
59,8,88,88,88
60,7,77,77,77
61,9,99,99,99
62,8,88,88,88
63,7,77,77,77
64,9,99,99,99
65,8,88,88,88
66,7,77,77,77
67,9,99,99,99
68,8,88,88,88
69,7,77,77,77
70,9,99,99,99
71,8,88,88,88
72,7,77,77,77
73,9,99,99,99
74,8,88,88,88
75,7,77,77,77
76,9,99,99,99
77,8,88,88,88
78,7,77,77,77
79,9,99,99,99
80,8,88,88,88
81,7,77,77,77
82,9,99,99,99
83,8,88,88,88
84,7,77,77,77
85,9,99,99,99
86,8,88,88,88
87,7,77,77,77
88,9,99,99,99
89,8,88,88,88
90,7,77,77,77
91,9,99,99,99
92,8,88,88,88
93,7,77,77,77
94,9,99,99,99
95,8,88,88,88
96,7,77,77,77
97,9,99,99,99
98,8,88,88,88
99,7,77,77,77
100,9,99,99,99
101,8,88,88,88
102,7,77,77,77
103,9,99,99,99
104,8,88,88,88
105,7,77,77,77
106,9,99,99,99
107,8,88,88,88
108,7,77,77,77
109,9,99,99,99
110,8,88,88,88
111,7,77,77,77
112,9,99,99,99
113,8,88,88,88
114,7,77,77,77
115,9,99,99,99
116,8,88,88,88
