Food Record Summary
2017-11-05,Expense,Food,ʳƷ,4600,JPY
2017-11-05,Expense,Food,ʳƷ,736,JPY
2017-11-06,Expense,Food,ʳƷ,590,JPY
2017-11-06,Expense,Food,ʳƷ,540,JPY
2017-11-06,Expense,Food,ʳƷ,268,JPY
2017-11-07,Expense,Food,ʳƷ,199,JPY
2017-11-07,Expense,Food,ʳƷ,700,JPY
2017-11-07,Expense,Food,ʳƷ,268,JPY
2017-11-08,Expense,Food,ʳƷ,214,JPY
2017-11-08,Expense,Food,ʳƷ,1100,JPY
2017-11-08,Expense,Food,ʳƷ,356,JPY
2017-11-09,Expense,Food,ʳƷ,800,JPY
2017-11-09,Expense,Food,ʳƷ,199,JPY
2017-11-09,Expense,Food,ʳƷ,540,JPY
2017-11-09,Expense,Food,ʳƷ,268,JPY
2017-11-10,Expense,Food,ʳƷ,590,JPY
2017-11-12,Expense,Food,ʳƷ,4162,JPY
2017-11-13,Expense,Food,ʳƷ,298,JPY
2017-11-13,Expense,Food,ʳƷ,670,JPY
2017-11-13,Expense,Food,ʳƷ,188,JPY
2017-11-14,Expense,Food,ʳƷ,488,JPY
2017-11-14,Expense,Food,ʳƷ,130,JPY
2017-11-14,Expense,Food,ʳƷ,750,JPY
2017-11-14,Expense,Food,ʳƷ,88,JPY
2017-11-15,Expense,Food,ʳƷ,590,JPY
2017-11-15,Expense,Food,ʳƷ,540,JPY
2017-11-16,Expense,Food,ʳƷ,156,JPY
2017-11-16,Expense,Food,ʳƷ,1100,JPY
2017-11-16,Expense,Food,ʳƷ,258,JPY
2017-11-17,Expense,Food,ʳƷ,750,JPY
2017-11-17,Expense,Food,ʳƷ,415,JPY
2017-11-19,Expense,Food,ʳƷ,4136,JPY
2017-11-19,Expense,Food,ʳƷ,4179,JPY
2017-11-19,Expense,Food,ʳƷ,6557,JPY
2017-11-20,Expense,Food,ʳƷ,130,JPY
2017-11-20,Expense,Food,ʳƷ,1100,JPY
2017-11-20,Expense,Food,ʳƷ,130,JPY
2017-11-21,Expense,Food,ʳƷ,1311,JPY
2017-11-21,Expense,Food,ʳƷ,216,JPY
2017-11-21,Expense,Food,ʳƷ,1100,JPY
2017-11-21,Expense,Food,ʳƷ,260,JPY
2017-11-21,Expense,Food,ʳƷ,130,JPY
2017-11-22,Expense,Food,ʳƷ,578,JPY
2017-11-22,Expense,Food,ʳƷ,540,JPY
2017-11-22,Expense,Food,ʳƷ,289,JPY
2017-11-24,Expense,Food,ʳƷ,790,JPY
2017-11-24,Expense,Food,ʳƷ,364,JPY
2017-11-24,Expense,Food,ʳƷ,100,JPY
2017-11-24,Expense,Food,ʳƷ,540,JPY
2017-11-24,Expense,Food,ʳƷ,249,JPY
2017-11-27,Expense,Food,ʳƷ,265,JPY
